,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
1298,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,9,313,32229,25,11,1,0,0,80,0,0.0,36,0,0.0,50,0,0.0,0,0.0,50,30,2
1299,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,3,323,30381,14158,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
1300,GUAVA-85,com.google.common.base.CaseFormat,9,291,28844,2112,37,0,20,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
1301,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,1,308,29740,13365,24,0,1,0,26,26,100.0,22,21,95.454544,16,16,100.0,16,100.0,0,30,2
1302,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,7,310,31775,22306,11,0,0,0,70,23,32.857143,28,10,35.714287,20,0,0.0,0,0.0,20,30,2
1303,FASTJSON-19,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,5,312,32015,25505,35,0,0,0,68,46,67.64706,44,28,63.636364,6,0,0.0,0,0.0,6,30,2
1304,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,6,293,35427,42499,193,0,47,0,518,411,79.34363,410,280,68.29269,22,0,0.0,0,0.0,22,30,2
1305,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,9,290,35193,42558,201,0,42,0,518,412,79.53668,410,284,69.268295,21,0,0.0,0,0.0,21,30,2
1306,FASTJSON-64,com.alibaba.fastjson.serializer.JSONSerializer,6,306,33056,25597,130,0,35,0,185,146,78.918915,108,72,66.66667,21,0,0.0,0,0.0,21,30,2
1307,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,6,350,29997,9041,88,0,8,0,78,77,98.71795,56,52,92.85714,93,92,98.92473,92,98.92473,1,30,2
1308,SEATA-6,io.seata.core.rpc.RpcContext,8,311,29436,9135,64,0,0,0,85,80,94.117645,32,29,90.625,30,29,96.666664,29,96.666664,1,30,2
1309,GUAVA-21,com.google.common.base.internal.Finalizer,4,296,61009,11,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,30,0
1310,SPOON-101,spoon.reflect.visitor.PrintingContext,6,332,29332,21,39,1,0,0,34,0,0.0,24,0,0.0,34,0,0.0,0,0.0,34,30,2
1311,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,10,312,31346,9271,26,0,0,0,26,23,88.46153,20,19,95.0,2,0,0.0,0,0.0,2,30,2
1312,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,9,313,29474,48379,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
1313,SPOON-19,spoon.reflect.visitor.filter.LineFilter,3,297,28911,8368,3,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
1314,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,6,304,32048,17275,15,0,0,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203,122,30,2
1315,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,5,309,47715,25,1,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
1316,GUAVA-174,com.google.common.collect.TopKSelector,1,288,32262,7279,46,0,0,0,79,73,92.40506,36,29,80.55556,68,63,92.64706,63,92.64706,5,30,2
1317,FASTJSON-50,com.alibaba.fastjson.parser.DefaultJSONParser,4,308,38016,29609,136,0,2,0,947,198,20.90813,570,72,12.631578,158,0,0.0,0,0.0,158,30,2
1318,SPOON-163,spoon.pattern.internal.node.MapEntryNode,10,332,29890,9520,32,0,0,0,38,29,76.31579,20,11,55.0,7,0,0.0,0,0.0,7,30,2
1319,GUAVA-110,com.google.common.math.IntMath,1,294,29382,799,241,0,0,0,180,0,0.0,164,0,0.0,126,0,0.0,0,0.0,126,30,2
1320,SPOON-11,spoon.reflect.factory.TypeFactory,1,291,34366,14287,86,0,5,0,217,165,76.036865,70,47,67.14285,24,0,0.0,0,0.0,24,30,2
1321,FASTJSON-19,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,4,310,34325,25118,37,0,1,0,68,34,50.0,44,20,45.454548,29,18,62.068962,18,62.068962,11,30,2
1322,GUAVA-114,com.google.common.util.concurrent.AtomicDoubleArray,4,308,29561,6106,43,0,1,0,59,50,84.745766,14,10,71.42857,34,30,88.2353,30,88.2353,4,30,2
1323,GUAVA-71,com.google.common.collect.SparseImmutableTable,8,355,29757,6581,2,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75,9,30,2
