tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,collections-17,org.apache.commons.collections4.trie.analyzer.StringKeyAnalyzer,3,323,28930,4329,56,0,0,0,40,40,100.0,34,34,100.0,56,56,100.0,56,100.0,0,30,2
evosuite,spatial4j-48,org.locationtech.spatial4j.shape.impl.BufferedLineString,9,305,30658,29954,73,0,8,0,54,49,90.74074,28,22,78.57143,5,0,0.0,0,0.0,5,30,2
evosuite,ta4j-55,org.ta4j.core.aggregator.DurationBarAggregator,7,279,29139,5507,24,0,0,0,52,48,92.30769,36,28,77.77778,30,29,96.666664,29,96.666664,1,30,2
evosuite,collections-6,org.apache.commons.collections4.list.TreeList,5,264,29873,5259,142,0,0,0,54,54,100.0,18,18,100.0,42,42,100.0,42,100.0,0,30,2
evosuite,jsoup-35,org.jsoup.safety.Cleaner,6,276,28815,10933,41,0,3,0,41,39,95.12195,16,14,87.5,2,0,0.0,0,0.0,2,30,2
evosuite,spatial4j-51,org.locationtech.spatial4j.shape.impl.CircleImpl,10,277,29094,9328,114,0,25,0,94,93,98.93617,88,82,93.181816,1,0,0.0,0,0.0,1,30,2
evosuite,threeten-extra-88,org.threeten.extra.PackedFields,1,270,28373,5039,5,0,0,0,7,3,42.857143,4,0,0.0,2,0,0.0,0,0.0,2,30,2
evosuite,collections-25,org.apache.commons.collections4.sequence.EditScript,1,275,25981,3654,8,0,0,0,20,20,100.0,2,2,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,jsoup-30,org.jsoup.parser.TokenQueue,6,274,29007,804,105,0,0,0,149,0,0.0,118,0,0.0,121,0,0.0,0,0.0,121,30,2
evosuite,ta4j-75,org.ta4j.core.indicators.aroon.AroonDownIndicator,10,284,28682,6333,23,0,0,0,19,16,84.210526,6,3,50.0,2,0,0.0,0,0.0,2,30,2
evosuite,collections-5,org.apache.commons.collections4.functors.PrototypeFactory,6,290,28393,1170,5,0,0,0,13,11,84.61539,4,4,100.0,6,5,83.33333,5,83.33333,1,30,2
evosuite,spatial4j-44,org.locationtech.spatial4j.shape.impl.InfBufLine,5,277,28843,7812,69,0,9,0,49,49,100.0,42,38,90.47619,0,0,0.0,0,0.0,0,30,2
evosuite,collections-3,org.apache.commons.collections4.iterators.SingletonIterator,8,269,14778,1077,9,0,0,0,22,22,100.0,14,14,100.0,9,9,100.0,9,100.0,0,30,2
evosuite,ta4j-69,org.ta4j.core.Trade,7,263,28893,5914,83,0,3,0,60,38,63.333332,22,13,59.090908,40,23,57.5,23,57.5,17,30,2
evosuite,ta4j-71,org.ta4j.core.num.NaN,3,300,28823,1726,65,0,16,0,38,38,100.0,4,4,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,ta4j-57,org.ta4j.core.criteria.helpers.StandardErrorCriterion,7,267,28636,6582,20,0,3,0,11,11,100.0,2,2,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,ta4j-63,org.ta4j.core.indicators.LWMAIndicator,6,279,28661,5326,18,0,0,0,17,15,88.2353,4,3,75.0,1,0,0.0,0,0.0,1,30,2
evosuite,collections-2,org.apache.commons.collections4.collection.CompositeCollection,8,300,31930,5329,79,0,1,0,112,108,96.42857,60,56,93.333336,68,65,95.588234,65,95.588234,3,30,2
evosuite,threeten-extra-92,org.threeten.extra.chrono.Symmetry454Date,3,316,29778,7560,173,0,0,0,149,144,96.644295,80,78,97.5,11,0,0.0,0,0.0,11,30,2
evosuite,threeten-extra-88,org.threeten.extra.PackedFields,8,277,28678,5281,9,0,0,0,7,3,42.857143,4,0,0.0,2,0,0.0,0,0.0,2,30,2
evosuite,ta4j-59,org.ta4j.core.criteria.pnl.AverageProfitCriterion,3,278,28787,7051,22,0,4,0,18,14,77.77778,8,5,62.5,3,0,0.0,0,0.0,3,30,2
evosuite,ta4j-79,org.ta4j.core.indicators.statistics.VarianceIndicator,7,267,29125,7484,22,0,8,0,15,15,100.0,2,2,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,ta4j-57,org.ta4j.core.criteria.helpers.StandardErrorCriterion,1,259,28407,6007,21,0,12,0,11,8,72.72727,2,1,50.0,3,0,0.0,0,0.0,3,30,2
evosuite,threeten-extra-86,org.threeten.extra.chrono.AccountingEra,9,290,28757,5272,10,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,1,33.333336,2,30,2
evosuite,collections-23,org.apache.commons.collections4.TransformerUtils,6,268,31530,10,9,1,0,0,34,0,0.0,4,0,0.0,26,0,0.0,0,0.0,26,30,2
evosuite,spatial4j-41,org.locationtech.spatial4j.io.WKTReader,10,272,31924,10174,195,0,0,0,153,118,77.12418,68,51,75.0,26,0,0.0,0,0.0,26,30,2
evosuite,ta4j-55,org.ta4j.core.aggregator.DurationBarAggregator,10,282,29006,5268,16,0,0,0,52,33,63.461536,36,12,33.333336,13,0,0.0,0,0.0,13,30,2
evosuite,ta4j-64,org.ta4j.core.criteria.NumberOfBreakEvenPositionsCriterion,1,273,28392,6400,17,0,2,0,12,12,100.0,4,3,75.0,0,0,0.0,0,0.0,0,30,2
evosuite,ta4j-74,org.ta4j.core.rules.TimeRangeRule,6,295,28583,6240,14,0,1,0,12,11,91.66667,4,0,0.0,3,0,0.0,0,0.0,3,30,2
evosuite,threeten-extra-89,org.threeten.extra.chrono.Symmetry010Chronology,8,262,28916,6488,90,0,0,0,47,47,100.0,15,15,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,collections-23,org.apache.commons.collections4.TransformerUtils,5,270,29190,9,10,1,0,0,34,0,0.0,4,0,0.0,26,0,0.0,0,0.0,26,30,2
evosuite,collections-13,org.apache.commons.collections4.MapUtils,1,272,61008,10,0,0,0,0,306,0,0.0,188,0,0.0,0,0,0.0,0,0.0,0,30,0
evosuite,collections-13,org.apache.commons.collections4.MapUtils,10,315,34351,10,6,1,0,0,306,0,0.0,188,0,0.0,118,0,0.0,0,0.0,118,30,2
evosuite,threeten-extra-89,org.threeten.extra.chrono.Symmetry010Chronology,7,275,28963,6323,84,0,0,0,47,47,100.0,15,15,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,threeten-extra-94,org.threeten.extra.chrono.CopticEra,8,266,28505,5680,9,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,2,66.66667,1,30,2
evosuite,ta4j-61,org.ta4j.core.rules.StopLossRule,5,275,28600,6109,18,0,0,0,24,20,83.33333,6,5,83.33333,1,0,0.0,0,0.0,1,30,2
evosuite,threeten-extra-88,org.threeten.extra.PackedFields,4,272,28598,5142,10,0,0,0,7,6,85.71429,4,1,25.0,2,2,100.0,2,100.0,0,30,2
evosuite,collections-3,org.apache.commons.collections4.iterators.SingletonIterator,10,283,9267,3760,7,0,0,0,22,22,100.0,14,14,100.0,9,9,100.0,9,100.0,0,30,2
evosuite,threeten-extra-85,org.threeten.extra.chrono.PaxEra,5,264,28495,5526,8,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,2,66.66667,1,30,2
evosuite,ta4j-78,org.ta4j.core.indicators.UlcerIndexIndicator,2,273,28716,5665,17,0,5,0,19,19,100.0,4,4,100.0,0,0,0.0,0,0.0,0,30,2
evosuite,spatial4j-43,org.locationtech.spatial4j.shape.SpatialRelation,2,296,28413,453,22,0,0,0,20,0,0.0,21,0,0.0,18,0,0.0,0,0.0,18,30,2
evosuite,threeten-extra-99,org.threeten.extra.Seconds,4,281,28832,6774,112,0,3,0,107,80,74.76636,62,49,79.03226,73,68,93.15069,68,93.15069,5,30,2
evosuite,ta4j-76,org.ta4j.core.Position,2,265,28925,6288,125,0,3,0,86,84,97.674416,52,48,92.30769,58,57,98.27586,57,98.27586,1,30,2
evosuite,jsoup-31,org.jsoup.nodes.FormElement,2,257,28850,10183,31,0,0,0,45,22,48.88889,32,10,31.25,11,0,0.0,0,0.0,11,30,2
evosuite,threeten-extra-87,org.threeten.extra.PeriodDuration,6,289,29047,6699,107,0,4,0,123,112,91.056915,78,66,84.61539,82,78,95.12195,78,95.12195,4,30,2
evosuite,collections-20,org.apache.commons.collections4.map.LinkedMap,2,291,33176,12444,53,0,0,0,25,22,88.0,4,4,100.0,3,0,0.0,0,0.0,3,30,2
evosuite,ta4j-61,org.ta4j.core.rules.StopLossRule,10,270,28607,6014,24,0,2,0,24,20,83.33333,6,6,100.0,1,0,0.0,0,0.0,1,30,2
evosuite,collections-19,org.apache.commons.collections4.iterators.ZippingIterator,6,293,28823,4647,20,0,0,0,35,35,100.0,14,14,100.0,15,15,100.0,15,100.0,0,30,2
evosuite,ta4j-61,org.ta4j.core.rules.StopLossRule,6,329,28959,5611,19,0,0,0,24,22,91.66667,6,5,83.33333,0,0,0.0,0,0.0,0,30,2
evosuite,ta4j-62,org.ta4j.core.indicators.helpers.LossIndicator,10,272,30829,5871,18,0,1,0,8,7,87.5,4,3,75.0,2,0,0.0,0,0.0,2,30,2
evosuite,jsoup-26,org.jsoup.examples.Wikipedia,8,277,28368,17,5,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,30,2
evosuite,collections-4,org.apache.commons.collections4.map.MultiValueMap,7,275,29245,9,53,1,0,0,88,0,0.0,44,0,0.0,52,0,0.0,0,0.0,52,30,2
evosuite,jsoup-38,org.jsoup.select.NodeTraversor,3,275,29312,12015,50,0,0,0,77,72,93.50649,66,59,89.393936,4,0,0.0,0,0.0,4,30,2
evosuite,threeten-extra-98,org.threeten.extra.chrono.CopticChronology,6,274,28776,6275,57,0,0,0,24,24,100.0,4,4,100.0,22,22,100.0,22,100.0,0,30,2
evosuite,spatial4j-48,org.locationtech.spatial4j.shape.impl.BufferedLineString,8,273,30655,8512,67,0,22,0,54,54,100.0,28,27,96.42857,0,0,0.0,0,0.0,0,30,2
evosuite,threeten-extra-94,org.threeten.extra.chrono.CopticEra,9,277,28534,5270,8,0,0,0,8,8,100.0,3,3,100.0,3,3,100.0,2,66.66667,1,30,2
